"DATE","SP500","CHAIR_POWELL_FED_SPEECH_NAMES","SP500_DAILY_GAIN","TEXT_OF_SPEECH"
2018-02-13,2662.94,"Chair_Powell_2018-Feb-13",0.261295180722894,"it is both humbling and a great privilege to be standing here today.1 i am particularly honored by the trust and faith that the president has placed in me and by the senate's quick action in confirming me. there is no greater honor than public service, as randy, lael and all of our colleagues here at the fed would agree.    the congress has assigned the federal reserve the goals of stable prices and maximum employment. price stability means that businesses and households can make important decisions without concern for high or volatile inflation. maximum employment means that those who want a job either have one or can find one reasonably quickly. we also have important responsibilities for the stability of the financial system and for the regulation and supervision of financial institutions, including our largest banks. through regulation that is both effective and efficient, we seek to ensure that credit, which is vital for a healthy economy, will be available to families and businesses throughout the business cycle, so they can invest in a brighter future.    these are awesome responsibilities, and the congress has wisely entrusted us with an important degree of independence so that we can pursue our monetary policy goals without concern for short-term political pressures. as a public institution, we must be transparent about our actions so that the public, through its elected representatives, can hold us accountable. over the past 25 years, the fed has been a leader among central banks in improving transparency. today, we are open and accountable. we strive to explain our actions in a way that enhances the public's understanding of our goals and methods. we will continue to pursue ways to improve transparency both in monetary policy and in regulation.    when i joined the board of governors in 2012, unemployment was 8.2 percent. many millions of americans were still suffering from the ravages of the crisis. since then, monetary policy has continued to support a full recovery in labor markets and a return to our inflation target; we have made great progress in moving much closer to those statutory objectives. in addition, the financial system is incomparably stronger and safer, with much higher capital and liquidity, better risk management, and other improvements.    much credit for these results should go to chairman bernanke and chair yellen. i am grateful for their leadership and for their example and advice as colleagues. but there is more to the story than successful leadership. the success of our institution is really the result of the way all of us carry out our responsibilities. we approach every issue through a rigorous evaluation of the facts, theory, empirical analysis and relevant research. we consider a range of external and internal views; our unique institutional structure, with a board of governors in washington and 12 reserve banks around the country, ensures that we will have a diversity of perspectives at all times. we explain our actions to the public. we listen to feedback and give serious consideration to the possibility that we might be getting something wrong. there is great value in having thoughtful, well-informed critics.    while the challenges we face are always evolving, the fed's approach will remain the same. today, the global economy is recovering strongly for the first time in a decade. we are in the process of gradually normalizing both interest rate policy and our balance sheet with a view to extending the recovery and sustaining the pursuit of our objectives. we will also preserve the essential gains in financial regulation while seeking to ensure that our policies are as efficient as possible. we will remain alert to any developing risks to financial stability.    i am deeply grateful for the opportunity to lead the fed as we face these evolving challenges. i believe that the way we approach our work, the strong values we hold, and the dedication to public service i see throughout the federal reserve have been the keys to our success. as chairman, i will uphold these values and do my very best to further our pursuit of something we all seek--an economy that works for all americans."
2018-04-06,2604.47,"Chair_Powell_2018-Apr-6",-2.19202054948853,"for more than 90 years, the economic club of chicago has provided a valued forum for current and future leaders to discuss issues of vital interest to this city and our nation. i am honored to have the opportunity to speak to you here today.    at the federal reserve, we seek to foster a strong economy for the benefit of individuals, families, and businesses throughout our country. in pursuit of that overarching objective, the congress has assigned us the goals of achieving maximum employment and stable prices, known as the dual mandate. today i will review recent economic developments, focusing on the labor market and inflation, and then touch briefly on longer-term growth prospects. i will finish with a discussion of monetary policy.    recent developments and the state of the economy  after what at times has been a slow recovery from the financial crisis and the great recession, growth has picked up. unemployment has fallen from 10 percent at its peak in october 2009 to 4.1 percent, the lowest level in nearly two decades (figure 1). seventeen million jobs have been created in this expansion, and the monthly pace of job growth remains more than sufficient to employ new entrants to the labor force (figure 2). the labor market has been strong, and my colleagues and i on the federal open market committee (fomc) expect it to remain strong. inflation has continued to run below the fomc's 2 percent objective but we expect it to move up in coming months and to stabilize around 2 percent over the medium term.    beyond the labor market, there are other signs of economic strength. steady income gains, rising household wealth, and elevated consumer confidence continue to support consumer spending, which accounts for about two thirds of economic output. business investment improved markedly last year following two subpar years, and both business surveys and profit expectations point to further gains ahead. fiscal stimulus and continued accommodative financial conditions are supporting both household spending and business investment, while strong global growth has boosted u.s. exports.    as many of you know, each quarter fomc participants--the members of the board of governors and the presidents of the reserve banks--submit their individual projections for growth, unemployment, and inflation, as well as their forecasts of the appropriate path of the federal funds rate, which the committee uses as the primary tool of monetary policy. these individual projections are compiled and published in the summary of economic projections, or sep. fomc participants submitted their most recent forecasts three weeks ago, and those forecasts show a strengthening in the medium-term economic outlook (table 1). as you can see, participants generally raised their forecasts for growth in inflation-adjusted gross domestic product (gdp) and lowered their forecasts for unemployment. in addition, many participants expressed increased confidence that inflation would move up toward our 2 percent target. the fomc sees the risks to the economic outlook as roughly balanced.    the state of the labor market  as i mentioned, the headline unemployment rate has declined to levels not seen since 2000. the median projection in the march sep calls for unemployment to fall well below 4 percent for a sustained period, something that has not happened since the late 1960s. this strong labor market forecast has important implications for the fulfillment of both sides of the dual mandate, and thus for the path of monetary policy. so i will spend a few minutes exploring the state of the job market in some detail.    a good place to begin is with the term ""maximum employment,"" which the committee takes to mean the highest utilization of labor resources that is sustainable over time. in the long run, the level of maximum employment is not determined by monetary policy, but rather by factors affecting the structure and dynamics of the labor market.1 also, the level of maximum employment is not directly measureable, and it changes over time. real-time estimates of maximum employment are highly uncertain.2 recognizing this uncertainty, the fomc does not set a fixed goal for maximum employment. instead, we look at a wide range of indicators to assess how close the economy is to maximum employment.    the headline unemployment rate is arguably the best single indicator of labor market conditions. in addition, it is widely known and updated each month. as i noted, the unemployment rate is currently at 4.1 percent, which is a bit below the fomc's median estimate of the longer-run normal rate of unemployment. however, the unemployment rate does not paint a complete picture. for example, to be counted in the official measure as unemployed, a person must have actively looked for a job in the past four weeks.3 people who have not looked for work as recently are counted not as unemployed, but as out of the labor force, even though some of them actually want a job and are available to work. others working part time may want a full-time job. and still others who say that they do not want a job right now might be pulled into the job market if the right opportunity came along. so, in judging tightness in the labor market, we also look at a range of other statistics, including alternative measures of unemployment, as well as measures of vacancies and job flows, surveys of households' and businesses' perceptions of the job market, and, of course, data on wages and prices.    figure 3 shows the headline unemployment rate and two broader measures of unemployment, known as u-5 and u-6.4 u-5 includes the unemployed plus people who say they want a job and have looked for one in the past year (though not in the past four weeks). u-6 includes all those counted in u-5 plus people who are working part time but would like full-time work. like the headline unemployment rate, both u-5 and u-6 have declined significantly in recent years. they are now at levels seen before the financial crisis, though not quite as low as they were in 1999 to 2000, a period of very tight job market conditions.    the left panel of the next chart shows that employers are having about as much difficulty now attracting qualified workers as they did 20 years ago (figure 4). likewise, the job vacancy rate, shown on the right, is close to its all-time high, as is the average number of weeks it takes to fill a job opening.5 households also are increasingly reporting that jobs are plentiful (figure 5), which is consistent with the high level of job postings reported by firms. in addition, the proportion of workers quitting their jobs is high, suggesting that workers are being hired away from their current employers and that others are confident enough about their prospects to leave jobs voluntarily--even before they have landed their next job.    while the data i have discussed thus far do point to a tight labor market, other data are less definitive. the labor force participation rate, which measures the percentage of working age individuals who are either working or actively looking for a job, has remained steady for about four years (figure 6). this flat performance is actually a sign of improvement, since increased retirements as our population ages have been putting downward pressure on participation and will continue to do so. however, the participation rate of prime-age workers (those between the ages of 25 and 54) has not recovered fully to its pre-recession level, suggesting that there might still be room to pull more people into the labor force (figure 7). indeed, the strong job market does appear to be drawing back some people who have been out of the labor force for a significant time. for example, the percentage of adults returning to the labor force after previously reporting that they were not working because of a disability has increased over the past couple of years, and anecdotal reports indicate that employers are increasingly willing to take on and train workers they would not have considered in the past.6    wage growth has also remained moderate, though it has picked up compared with its pace in the early part of this recovery (figure 8). weak productivity growth is an important reason why we have not seen larger wage gains in recent years. at the same time, the absence of a sharper acceleration in wages suggests that the labor market is not excessively tight. i will be looking for an additional pickup in wage growth as the labor market strengthens further.    taking all of these measures of labor utilization on board, what can we say about the state of the labor market relative to our statutory goal of maximum employment? while uncertainty around the long run level of these indicators is substantial, many of them suggest a labor market that is in the neighborhood of maximum employment. a few other measures continue to suggest some remaining slack. assessments of the maximum level of employment are uncertain, however, and subject to revision. as we seek the highest sustainable utilization of labor resources, the committee will be guided by incoming data across all of these measures.    inflation  that brings me to inflation--the other leg of our dual mandate. the substantial improvement in the labor market has been accompanied by low inflation. indeed, inflation has continued to run below our 2 percent longer-run objective (figure 9). consumer prices, as measured by the price index for personal consumption expenditures, increased 1.8 percent over the 12 months ending in february. the core price index, which excludes the prices of energy and food and is typically a better indicator of future inflation, rose 1.6 percent over the same period. in fact, both of these indexes have been below 2 percent consistently for the past half-dozen years. this persistent shortfall in inflation from our target has led some to question the traditional relationship between inflation and the unemployment rate, also known as the phillips curve. given how low the unemployment rate is, why aren't we seeing higher inflation now?    as those of you who carefully read the minutes of each fomc meeting are aware--and i know there are some of you out there--we had a thorough discussion of inflation dynamics at our january meeting. almost all of the participants in that discussion thought that the phillips curve remained a useful basis for understanding inflation. they also acknowledged, however, that the link between labor market tightness and changes in inflation has become weaker and more difficult to estimate, reflecting in part the extended period of low and stable inflation in the united states and in other advanced economies. participants also noted that other factors, including inflation expectations and transitory changes in energy and import prices, can affect inflation.    my view is that the data continue to show a relationship between the overall state of the labor market and the change in inflation over time. that connection has weakened over the past couple of decades, but it still persists, and i believe it continues to be meaningful for monetary policy. much of the shortfall in inflation in recent years is well explained by high unemployment during the early years of the recovery and by falling energy prices and the rise in the dollar in 2015 and 2016. but the decline in inflation last year, as labor market conditions improved significantly, was a bit of a surprise. the 2017 shortfall from our 2 percent goal appears to reflect, at least partly, some unusual price declines, such as for mobile phone plans, that occurred nearly a year ago. in fact, monthly inflation readings have been firmer over the past several months, and the 12-month change should move up notably this spring as last spring's soft readings drop out of the 12-month calculation. consistent with this view, the median of fomc participants' projections in our march survey shows inflation moving up to 1.9 percent this year and to 2 percent in 2019.    longer-run challenges  although job creation is strong and unemployment is low, the u.s. economy continues to face some important longer-run challenges. gdp growth has averaged just over 2 percent per year in the current economic expansion, much slower than in previous expansions. even the higher growth seen in recent quarters remains below the trend before the crisis. nonetheless, the unemployment rate has come down 6 percentage points during the current expansion, suggesting that the trend growth necessary to keep the unemployment rate unchanged has shifted down materially. the median of fomc participants' projections of this longer-run trend growth rate is 1.8 percent. the latest estimate from the blue-chip consensus of private forecasters is about 2 percent.7    to unpack this discussion a little further, we can think of output growth as composed of increases in hours worked and in output per hour, also known as productivity growth. here, a comparison with the 2001-to-2007 expansion is informative. output growth in that earlier expansion averaged nearly 3 percent per year, well above the pace in the current expansion. despite the faster output growth, however, average job growth in the early 2000s was 1/2 percentage point per year weaker than in the current expansion. the difference, of course, is productivity, which grew at more than twice the pace in the early 2000s than it has in recent years.    taking a longer view, the average pace of labor productivity growth since 2010 is the slowest since world war ii and about one-fourth of the average postwar rate (figure 10). moreover, the productivity growth slowdown seems to be global and is evident even in countries that were little affected by the financial crisis (figure 11). this observation suggests that factors specific to the united states are probably not the main drivers.    as shown in figure 12, labor productivity growth can be broken down into the contributions from business investment (or capital deepening), changes in the skills and work experience of the workforce, and a residual component that is attributed to other factors such as technological change and efficiency gains (usually lumped together under the term total factor or multifactor productivity).    in the united states and in many other countries, some of the slowdown in labor productivity growth can be traced to weak investment after the crisis. investment has picked up recently in the united states, however, which suggests that capital deepening may pick up as well. the other big contributor to the slowdown has been in total factor productivity growth. the outlook for this dimension of productivity is considerably more uncertain. total factor productivity growth is notoriously difficult to predict, and there are sharply different views on where it might be heading. some argue that the productivity gains from the information technology revolution are largely behind us, and that more-recent technological innovations have less potential to boost productivity.8 others argue that a well-documented decline in measures of business dynamism--such as the number of start-ups, the closure of less-productive businesses, and the rates at which workers quit their jobs and move around the country to take a new job--has held back productivity growth, in part by slowing the movement of capital and labor toward their most productive uses.9    new technological breakthroughs in many areas--robotics, biotech, and artificial intelligence to name just a few--have led others to take a more optimistic view.10 they point to substantial productivity gains from innovation in areas such as energy production and e-commerce. in addition, the optimists point out that advances in technology often take decades to work their way into the economy before their ultimate effects on productivity are felt. that delay has been observed even for game-changing innovations like the steam engine and electrification, which ultimately produced broad increases in productivity and living standards. in this view, we just need to be patient for new technologies to diffuse through the economy. only time will tell who has the better view‑‑the record provides little basis to believe that we can accurately forecast the rate of increase in productivity.    the other principal contributor to output growth is hours worked. hours growth, in turn, is largely determined by growth in the labor force, which has averaged just 1/2 percent per year since 2010, well below the average in previous decades (figure 13). one reason for slower growth of the labor force is that baby boomers are aging and retiring, and that trend will continue. but another reason is that labor force participation of people between the ages of 25 and 54--prime-age individuals--declined from 2010 to 2015 and remains low. indeed, the participation rate for prime-age men has been falling for more than 50 years, while women's participation in this age group rose through the 1990s but then turned downward, and it has fallen for the past 20 years.    these trends in participation have been more pronounced in the united states than in other advanced economies. in 1990, the united states had relatively high participation rates for prime-age women relative to other countries and was in the midrange of advanced economies for prime-age men. however, we now stand at the low end of participation for both men and women in this age group--just above italy, but well below germany, france, and spain (figure 14).    there is no consensus about the reasons for the long-term decline in prime-age participation rates, and a variety of factors could have played a role.11 for example, while automation and globalization have contributed positively to overall domestic production and growth, adjustment to these developments has resulted in dislocations of many workers without college degrees and those employed in manufacturing. in addition, factors such as the increase in disability rolls in recent decades and the opioid crisis may have reduced the supply of prime-age workers. given that the declines have been larger here than in other countries, it seems likely that factors specific to the united states have played an important role. as i noted earlier, the strong economy may continue to pull some prime-age individuals back into the labor force and encourage others not to drop out. research suggests that structurally-oriented measures--for example, improving education or fighting the opioid crisis--also will help raise labor force participation in this age group.12    to summarize this discussion, some of the factors weighing on longer-term growth are likely to be persistent, particularly the slowing in growth of the workforce. others are hard to predict, such as productivity. but as a nation, we are not bystanders. we can put policies in place that will support labor force participation and give us the best chance to achieve broad and sustained increases in productivity, and thus in living standards. these policies are mostly outside the toolkit of the federal reserve, such as those that support investment in education and workers' skills, business investment and research and development, and investment in infrastructure.    monetary policy  let me turn now to monetary policy. in the aftermath of the financial crisis, the fomc went to extraordinary lengths to promote the recovery, support job growth, and prevent inflation from falling too low. as the recovery advanced, it became appropriate to begin reducing monetary policy support. since monetary policy affects the economy with a lag, waiting until inflation and employment hit our goals before reducing policy support could have led to a rise in inflation to unwelcome levels. in such circumstances, monetary policy might need to tighten abruptly, which could disrupt the economy or even trigger a recession.    as a result, to sustain the expansion, the fomc adopted a gradual approach to reducing monetary policy support. we began in december 2015 by raising our target for the federal funds rate for the first time in nearly a decade. since then, with the economy improving but inflation still below target and some slack remaining, the committee has continued to gradually raise interest rates. this patient approach also reduced the risk that an unforeseen blow to the economy might push the federal funds rate back near zero‑‑its effective lower bound--thus limiting our ability to provide appropriate monetary accommodation.    in addition, after careful planning and public communication, last october the fomc began to gradually and predictably reduce the size of the fed's balance sheet. reducing our securities holdings is another way to move the stance of monetary policy toward neutral. the balance sheet reduction process is going smoothly and is expected to contribute over time to a gradual tightening of financial conditions. over the next few years, the size of our balance sheet is expected to shrink significantly.    at our meeting last month, the fomc raised the target range for the federal funds rate by 1/4 percentage point, bringing it to 1-1/2 to 1-3/4 percent. this decision marked another step in the ongoing process of gradually scaling back monetary policy accommodation. the fomc's patient approach has paid dividends and contributed to the strong economy we have today.    over the next few years, we will continue to aim for 2 percent inflation and for a sustained economic expansion with a strong labor market. as i mentioned, my fomc colleagues and i believe that, as long as the economy continues broadly on its current path, further gradual increases in the federal funds rate will best promote these goals. it remains the case that raising rates too slowly would make it necessary for monetary policy to tighten abruptly down the road, which could jeopardize the economic expansion. but raising rates too quickly would increase the risk that inflation would remain persistently below our 2 percent objective. our path of gradual rate increases is intended to balance these two risks.    of course, our views about appropriate monetary policy in the months and years ahead will be informed by incoming economic data and the evolving outlook. if the outlook changes, so too will monetary policy. our overarching objective will remain the same: fostering a strong economy for all americans--one that provides plentiful jobs and low and stable inflation."
2018-05-08,2671.92,"Chair_Powell_2018-May-8",-0.0265655926933409,"thank you for inviting me to join you today as part of this distinguished panel.    our subject is the relationship between ""center country"" monetary policy and global financial conditions, and the policy implications of that relationship both for the center country and for other countries affected. this broad topic has been the subject of a great deal of research and discussion in recent years. today i will focus in particular on the role of u.s. monetary policy in driving global financial conditions and capital flows. to preview my conclusions, i will argue that, while global factors play an important role in influencing domestic financial conditions, the role of u.s. monetary policy is often exaggerated. and while financial globalization does pose some challenges for monetary policy, efforts to build stronger and more transparent policy frameworks and a more resilient financial system can reduce the adverse consequences of external shocks.    the well-known mundell-fleming ""trilemma"" states that it is not possible to have all three of the following things: free capital mobility, a fixed exchange rate, and the ability to pursue an independent monetary policy. the trilemma does not say that a flexible exchange rate will always fully insulate domestic economic conditions from external shocks.1 and, indeed, that is not the case. we have seen that integration of global capital markets can make for difficult tradeoffs for some economies, whether they have fixed or floating exchange rate regimes.    since the fed is the central bank of the world's largest economy and issuer of the world's most widely used reserve currency, it is to be expected that the fed's policy actions will spill over to other economies. to illustrate this point, the scatterplot on the left side of figure 1 focuses on movements in interest rates and exchange rates following federal reserve policy announcements. as you can see, changes in u.s. interest rates after fed policy actions (shown on the horizontal axis) lead to corresponding changes in the value of the dollar (shown on the vertical axis). and because of the dollar's widespread use around the world, these changes in the dollar affect financial conditions abroad. fed policy-related movements in u.s. bond yields also tend to spill over to bond yields abroad, such as the german yields shown in the scatterplot on the right. such spillovers are to be expected in a world of highly integrated financial markets.2 as figure 2 shows, bond yields (left) and equity prices (right) around the world typically move together fairly closely.    but the influence of u.s. monetary policy on global financial conditions should not be overstated. the federal reserve is not the only central bank whose actions affect global financial markets. in fact, the united states is the recipient as well as the originator of monetary policy spillovers. for example, as seen in figure 3, changes in german yields after european central bank policy decisions also pass through to u.s. yields.3 more broadly, it is notable that although the fed has raised its target interest rate six times since december 2015 and has begun to shrink its balance sheet, overall u.s. domestic financial conditions have gotten looser, in part due to improving global conditions and central bank policy abroad.    much of the discussion of the spillovers of u.s. monetary policy focuses on their effects on financial conditions in emerging market economies (emes). some observers have attributed the movements in international capital flowing to emes since the global financial crisis primarily to monetary stimulus by the fed and other advanced-economy central banks.4 the data do not seem to me to fit this narrative particularly well. as illustrated by the blue dashed line in the left panel of figure 4, capital flows to emes were already very strong before the global financial crisis, when the federal funds rate was comparatively high. the subsequent surge in capital flows in 2009, as the crisis was abating, largely reflects a rebound from the capital flow interruption during the crisis itself, though highly accommodative monetary policies in advanced economies doubtless also played a role. moreover, capital flows to emes started to ease after 2011, a period when the federal reserve continued to add accommodation and reduce yields through increases in its balance sheet, as shown in the right panel. and, more recently, capital flows to emes have picked up again despite the fact that the fed has been removing accommodation since 2015.    if u.s. monetary policy is not the major determinant, what other factors have been driving eme capital flows? one prominent factor has been growth differentials between emes and advanced economies. in figure 5, the left panel shows that capital inflows to emes picked up post-crisis, in line with the widening of this growth differential, while the slowdown in inflows after 2011 coincides with its narrowing. another related determinant has been commodity prices, as shown in the right panel. the pickup in both global growth and commodity prices over the past couple of years explains a good part of the recent recovery of capital flows to emes.5    monetary stimulus by the fed and other advanced-economy central banks played a relatively limited role in the surge of capital flows to emes in recent years. there is good reason to think that the normalization of monetary policies in advanced economies should continue to prove manageable for emes. fed policy normalization has proceeded without disruption to financial markets, and market participants' expectations for policy (the red symbols in figure 6) seem reasonably well aligned with policymakers' expectations in the summary of economic projections (the black dots), suggesting that markets should not be surprised by our actions if the economy evolves in line with expectations.    it also bears emphasizing that the emes themselves have made considerable progress in reducing vulnerabilities since the crisis-prone 1980s and 1990s. many emes have substantially improved their fiscal and monetary policy frameworks while adopting more flexible exchange rates, a policy that recent research shows provides better insulation from external financial shocks.6 corporate debt at risk--the debt of firms with limited debt service capacity--has been rising in emes, as shown in figure 7.7 but this rise has been relatively limited outside of china and has begun to reverse as stronger global growth has pushed up earnings.    all that said, i do not dismiss the prospective risks emanating from global policy normalization. some investors and institutions may not be well positioned for a rise in interest rates, even one that markets broadly anticipate. and, of course, future economic conditions may surprise us, as they often do.    moreover, the linkages among monetary policy, asset prices, and the mood of global financial markets are not fully understood. some observers have argued that u.s. monetary policy also influences capital flows through its effects on global risk sentiment, with looser policy leading to more positive sentiment in markets and tighter policy depressing sentiment.8 while those channels may well operate, research at both the fed and the imf suggests that actions by major central banks account for only a relatively small fraction of global financial volatility and capital flow movements.9    nevertheless, risk sentiment will bear close watching as normalization proceeds around the world. what can the federal reserve do to foster continued financial stability and economic growth as normalization proceeds? we will communicate our policy strategy as clearly and transparently as possible to help align expectations and avoid market disruptions. and we will continue to help build resilience in the financial system and support global efforts to do the same."
2018-05-25,2721.33,"Chair_Powell_2018-May-25",-0.23572455054698,"thank you for inviting me here to celebrate this important milestone. today is a special day for all of us, since the founding of the riksbank 350 years ago marked the beginning of central banking.1 as we meet to discuss the challenges and opportunities the future may hold, it is worth pausing to note that the three and a half centuries since the riksbank's founding have seen economic growth and dynamism the breadth and duration of which have been unprecedented in world history. the swedish innovation we celebrate today, i believe, is a vital part of the financial foundations that support the continuation of rising prosperity.    in my comments today, i will explore the road ahead for public transparency and accountability of central banks in a time of intense scrutiny and declining trust in public institutions in many places around the world. as you know, the importance of transparency and accountability to monetary policymaking was recognized and became firmly entrenched in practice over the past few decades. the riksbank has been a leader in this transparency revolution. today i will focus on the less-often emphasized but critically important role transparency and accountability play in regulatory and financial stability policies.    to preview my conclusions, public transparency and accountability around both financial stability and monetary policy have become all the more important in light of the extraordinary actions taken by central banks in response to the global financial crisis. financial stability policymaking has evolved from managing individual crises as they arise to establishing a policy framework that emphasizes prevention. this framework now includes measures to increase the resiliency of the financial system; enhanced monitoring of financial institutions and of building risks to the system; and measures, such as resolution planning, that require firms to take steps today to better prepare for future episodes of stress. these innovations have placed special demands on transparency and accountability, and we have worked hard to explain them to the public. the framework is still evolving, and we will need to be open to making changes and to new ways to enhance transparency and accountability.    government, central banking, and independence  this is a challenging moment for central banking. opinion polls show that trust in government and public institutions is at historic lows.2 in this environment, central banks cannot take our measure of independence for granted.    for monetary policy, the case for central bank independence rests on the demonstrated benefits of insulating monetary policy decisions from shorter-term political considerations. but for a quarter century, inflation has been low and inflation expectations anchored. we must not forget the lessons of the past, when a lack of central bank independence led to episodes of runaway inflation and subsequent economic contractions.    as for financial stability, the crisis and the severe recession that followed revealed serious flaws at many private and public institutions, including shortcomings in supervision and regulation. the crisis and its aftermath led central banks to take extraordinary actions, actions that challenged the ingenuity of experts in the field and were understandably difficult to explain and justify to a skeptical public. while these actions were authorized by law and on the whole necessary to avert the complete collapse of the financial system's ability to service households and businesses, they may have also contributed to the erosion of public trust.    central banks are assigned narrow but important mandates. for monetary policy, the fed's mandate is to keep inflation low and stable and to achieve maximum employment. for financial sector supervision and regulation, part of our mandate is to foster the safety and soundness of individual institutions. in addition, we have a responsibility, shared with other government agencies, to promote financial stability. i view this responsibility as being highly complementary to other aspects of our mission: financial stability promotes sustainable economic growth, and a stable, well-functioning financial system is an effective transmission channel for monetary policy. indeed, there can be no macroeconomic stability without financial stability.    within our narrow mandates, to safeguard against political interference, central banks are afforded instrument independence‑‑that is, we are given considerable freedom to choose the means to achieve legislatively-assigned goals. while the focus is often on monetary policy independence, research suggests that a degree of independence in regulatory and financial stability matters improves the stability of the banking system and leads to better outcomes.3 for this reason, governments in many countries, including the united states, have granted some institutional and budgetary independence to their financial regulators.    financial stability, transparency and accountability  in a democratic system, any degree of independence brings with it the obligation to provide appropriate transparency. in turn, transparency provides an essential basis for accountability and democratic legitimacy by enabling effective legislative oversight and keeping the public informed.4 of course, central banks also need to stick closely to our mandates; the case for independence weakens to the extent that central banks stray into issues that the legislature has not assigned to us.5    there is also an important policy effectiveness argument in favor of transparency. in the financial stability arena, there is no better example of this than the role that the first round of stress tests played during the crisis in restoring confidence in the u.s. banking system.6 so in the financial stability realm, the case for enhanced transparency is not just about being accountable; it is also about providing credible information that can help restore and sustain public confidence in the financial system.    the post-crisis regulatory system recognizes the importance of enhanced transparency, both about financial institutions themselves and about the processes and expectations of regulators and supervisors. before the crisis, supervision focused on the safety and soundness of individual institutions and was insufficiently attentive to risk in the financial system as a whole. supervisory judgments about firms were shared with the public only in rare and exceptional circumstances. financial stability tools were deployed after the fact, to address specific events that emerged to threaten stability. it is an understatement to say that this approach proved inadequate in the crisis.    the post-crisis regime has shifted to implementing preventive policies well in advance of any crisis.7 newly established ex ante policies include building the resilience of institutions by requiring more and higher-quality capital and liquidity buffers; a regime of stress tests undertaken by supervisors; and resolution planning, which requires firms to analyze their own potential for distress or failure and create a plan to be used in the event of bankruptcy. these post-crisis policies have benefitted from public solicitation of feedback and in many cases from consideration in open meetings of the board of governors.    transparency and incorporation of public feedback in these areas have produced more effective supervision and regulation. for example, transparent and clearly communicated policies make it easier for regulated entities to know what is expected of them and how best to comply. of course, as with any large-scale, complex undertaking, the standards adopted over the past decade can undoubtedly be improved. at the fed, we are committed to transparency as we assess the efficacy and efficiency of post-crisis reforms.    in a sense, stress testing is itself a step forward in transparency. pre-crisis, supervisors' views of the risks facing our most systemically important firms--and the firms' ability to understand and survive these risks--were shrouded in secrecy. post-crisis, as part of our stress-testing regime, these supervisory views and expectations are transparent. we expect that these firms will have capital, liquidity, and risk-management capabilities that are adequate for the firms not only to survive, but to continue to perform their key functions even in the event of truly severe stress, akin to the global financial crisis. we make a great deal of information regarding the stress tests public, including the scenarios we use, portfolio-level projected losses for participating firms, and, of course, the results. we have also proposed for public comment a range of ways to further enhance the transparency of the supervisory stress tests. this detailed disclosure provides the public with a wealth of information on how these institutions would perform under severe stress. and this transparency both enhances public confidence and holds banking regulators accountable for their judgments.    at the federal reserve we use a variety of additional means to enhance public understanding of our supervisory and financial stability efforts and judgments. the board's vice chairman for supervision testifies before the congress twice a year. the board staff's assessment of financial stability is discussed four times a year at federal open market committee meetings, and these discussions are summarized in the meeting's published minutes. and, since 2013, the semiannual monetary policy report to the congress has contained a review of financial stability conditions.    the way forward  the post-crisis framework remains novel and unfamiliar. some of these new policies, such as stress testing and resolution planning, are inherently complex and challenging for all involved. as a result, transparency and accountability around financial stability tools present particular challenges. we will continue to strive to find better ways to enhance transparency around our approach to preserving financial stability. efforts to engage with the public‑‑including consumer groups, academics, and the financial sector‑‑are likely to lead to improved policies. moreover, ongoing dialogue will work to enhance public trust, as well as our ability to adapt to new threats as they emerge.    there is every reason to expect that technology and communications will continue to rapidly evolve, and to affect the financial system and financial stability in ways that we cannot fully anticipate. while future innovations may well improve the delivery of financial services and make the system stronger, they may also contain the seeds of potential future systemic vulnerabilities. we will need to keep up with the pace of innovation, which will doubtless require changes to our approach to financial stability. as we consider such changes, it will remain critically important to provide transparency and accountability. by doing so, we strengthen the foundation of democratic legitimacy that enables central banks to serve the needs of our citizens, in the long and proud tradition of the riksbank."
