Country,Country Code,Year,inflation_rate,unemployment_rate,debt_to_gdp_ratio,foreign_direct_investment
Albania,ALB,2022,6.72520271530048,11.588,82.1135986168626,7.61975588479581
Armenia,ARM,2022,8.64091108973855,8.608,46.5518986672351,5.11469865492905
Australia,AUS,2022,6.59409671341846,3.701,57.9747482128782,4.05669357875421
Austria,AUT,2022,8.5468699318845,4.992,75.0511764249729,2.14769868488775
Azerbaijan,AZE,2022,13.8522590144267,5.65,16.8684980773192,-5.67773710614177
"Bahamas, The",BHS,2022,5.60540633583044,9.87,82.1595539606932,4.04154829632738
Bahrain,BHR,2022,3.62574104304482,1.326,115.517115830258,4.39654077271735
Barbados,BRB,2022,4.10028964518461,8.493,146.460053419506,3.42426251273034
Belarus,BLR,2022,15.209675274081,3.574,38.5890332685462,2.18640706132941
Belgium,BEL,2022,9.597511728725,5.558,94.0394321446935,2.13925628446983
Bhutan,BTN,2022,5.63916671396365,5.947,111.007897266318,0.289904658191376
Botswana,BWA,2022,11.665567478802,23.615,19.6160814562101,3.49190816493543
Brazil,BRA,2022,9.28010608956873,9.231,79.1023218878495,3.8221961533297
Bulgaria,BGR,2022,15.3252589264366,4.268,30.2989573096495,3.56033908579479
Burkina Faso,BFA,2022,14.2902354303358,5.348,62.5256094250825,3.5586101791011
Canada,CAN,2022,6.80280115341613,5.28,56.0929929346043,2.31251652587337
Central Europe and the Baltics,CEB,2022,14.6081439492433,4.00665167510362,53.9805667007551,3.75658824379422
Colombia,COL,2022,10.1772313546166,10.547,69.8732040763918,4.97568342327735
"Congo, Dem. Rep.",COD,2022,2.88585107289988,4.585,15.9896968122357,2.14185515804325
Costa Rica,CRI,2022,8.27477490232654,11.325,71.1115764129093,5.30504327929944
Croatia,HRV,2022,10.7805806758686,6.96,82.0797963923764,4.985245512246
Cyprus,CYP,2022,8.39548297993334,6.807,125.922291824171,1.64166213482607
Czechia,CZE,2022,15.1001651468371,2.224,46.8228201396193,3.62387319468991
Denmark,DNK,2022,7.6965669988926,4.434,26.369311889906,8.54973257966761
El Salvador,SLV,2022,7.19861615609867,2.999,65.9777145308668,0.0320261812840187
Estonia,EST,2022,19.3982634080616,5.571,25.2010912512376,4.34299623846351
Eswatini,SWZ,2022,2.59801620311077,37.852,35.4016656411589,0.278657137509149
Ethiopia,ETH,2022,33.8898797100898,3.493,31.4488486740364,2.89493814042439
Euro area,EMU,2022,8.47117645590892,6.74582069126458,85.2910314017371,0.0907915650271708
Europe & Central Asia,ECS,2022,10.7805806758686,5.8173385447594,77.8164979755676,0.759521490323437
Europe & Central Asia (IDA & IBRD countries),TEC,2022,13.8522590144267,5.5947671245867,30.5726231005852,0.926273809110867
Europe & Central Asia (excluding high income),ECA,2022,13.8522590144267,7.62118282348281,39.6411979114753,1.82856199682862
European Union,EUU,2022,8.83369886749452,6.1470759507747,79.6068045425516,0.922988096203233
Finland,FIN,2022,7.12350773301402,6.719,60.7870385935813,4.74077913110447
France,FRA,2022,5.22236748369735,7.308,98.6605241499728,3.94283079292149
Georgia,GEO,2022,11.8981654203198,11.657,42.9693933571232,8.53102325581886
Germany,DEU,2022,6.87257438551097,3.135,44.5288265352184,1.53654544234546
Greece,GRC,2022,9.64525981280632,12.426,203.285809241076,3.65288198376306
High income,,2022,7.35165155325364,4.49389346917888,103.184651291268,1.81787579175158
Hungary,HUN,2022,14.6081439492433,3.609,75.4685645471767,-1.40356299515757
Iceland,ISL,2022,8.3087551155892,3.789,87.5178164059194,3.99408113785374
India,IND,2022,6.69903414079852,4.822,46.5224986659426,1.48921120524665
Indonesia,IDN,2022,4.20946383402165,3.462,45.5407232589531,1.87267638098474
Iraq,IRQ,2022,4.99476596381044,15.588,27.438248367378,-0.728508762223113
Ireland,IRL,2022,7.82945736434105,4.479,46.7142417204892,-0.356166966705126
Italy,ITA,2022,8.20128991161718,8.069,139.002411702437,3.03479308444215
Jamaica,JAM,2022,10.3495688391272,4.083,106.282373001667,1.86419734045344
Japan,JPN,2022,2.49770278172255,2.6,216.213375459903,1.12781929281189
Jordan,JOR,2022,4.22915568897117,18.2,101.139705961004,2.33702614439225
Kazakhstan,KAZ,2022,15.0278644440851,4.86,22.4120405815457,2.24702227005397
"Korea, Rep.",KOR,2022,5.08951365062842,2.857,51.1791323198157,1.49617378306838
Kyrgyz Republic,KGZ,2022,13.9229093174176,4.055,50.0562432561485,0.451992680624909
Latin America & Caribbean,LCN,2022,7.7806152516404,6.90545810417572,68.9403527999863,3.44109500993439
Latin America & Caribbean (excluding high income),LAC,2022,8.27477490232654,6.88776049465308,66.1867240248866,3.25749849404716
Latin America & the Caribbean (IDA & IBRD countries),TLA,2022,7.83844572166295,7.00229002695219,66.1867240248866,3.49180025056184
Latvia,LVA,2022,17.3102830198815,6.815,73.8741281352749,2.87386804251436
Lesotho,LSO,2022,8.27180389943028,16.668,2.99324359587455,-0.34158390938169
Lithuania,LTU,2022,19.7050461518394,5.956,36.0484851112684,1.04930101685529
