Country,Country Code,Year,inflation_rate,unemployment_rate,debt_to_gdp_ratio,foreign_direct_investment,population,population_density_km,years_existed,conflict_count,gdp_nominal,gdp_ppp_per_capita,gdp_nominal_per_capita,gini_coefficient,human_development_index,gross_external_debt
Afghanistan,AFG,2023,,14.386,,,42239854.0,,,,,,,,,
Afghanistan,AFG,2022,,14.1,,,41128771.0,,62.879,,14502158192.0904,2092.87995224662,352.603733092107,,,3393247241.7
Afghanistan,AFG,2021,,11.934,,0.144401085222495,40099462.0,61.4805544056544,61.982,4.02249785795131,14266499429.8746,2138.87024713086,355.777826392648,,,3555784339.6
Afghanistan,AFG,2020,,11.71,,0.0649939571808755,38972230.0,59.7522806371985,62.575,6.59443908400367,19955929052.1496,2568.34190916779,512.055098005672,,0.400284141302109,3040072312.4
Afghanistan,AFG,2019,2.30237251516819,11.224,,0.124495985291258,37769499.0,57.9082516903546,63.565,7.18039716624779,18799444490.1128,2589.410395542,497.741431256813,,,2661685956.5
Afghanistan,AFG,2018,0.626149149168983,11.206,,0.661572217787196,36686784.0,56.2482314520951,63.081,6.74357283538399,18053222687.4126,2436.0063198102,492.090630986151,,0.393489241600037,2678760424.2
Afghanistan,AFG,2017,4.97595150553892,11.184,,0.274796791572807,35643418.0,54.6485411587937,63.016,6.80069468647332,18753456497.8159,2338.77869693875,526.140801025756,,0.389,2751986638.9
Afghanistan,AFG,2016,4.38389195513893,10.1,,0.516606084523093,34636207.0,53.1042837649295,63.136,6.69241862002357,18116572395.0772,2217.29678631971,523.053011984748,,,2596050086.4
Afghanistan,AFG,2015,-0.66170916471352,9.011,,0.88400046336123,33753499.0,51.7509145546816,62.659,9.97526212023234,19134221644.7325,2289.37198611713,566.881129708434,,,2596917266.2
Afghanistan,AFG,2014,4.67399603536305,7.915,,0.209664794672203,32716210.0,50.160541526762,62.545,,20497128555.6972,2229.67953873833,626.512929086139,,,2529865267.8
Africa Eastern and Southern,AFE,2023,7.12697482131851,7.47282411216494,,1.88692303553091,739108306.0,,,,1236163044999.97,4459.76413365087,1672.5059574692,,,
Africa Eastern and Southern,AFE,2022,10.7737512242899,7.4482217862402,,1.74859735715948,720859132.0,,62.8990306485382,,1183962133998.87,4294.02528117969,1642.43203899493,,,
Africa Eastern and Southern,AFE,2021,7.24097765588442,7.96449309355542,,5.03967283825324,702977106.0,47.354182530972,62.4545896453863,,1086772164579.87,3967.40062889228,1545.95669660381,,,
Africa Eastern and Southern,AFE,2020,5.40516207933392,7.66116109948316,,1.48281139207079,685112979.0,46.150813141707,63.313860330682,,929074086484.093,3666.87196121749,1356.08887141531,,,
Africa Eastern and Southern,AFE,2019,4.65366473106483,7.24466987969725,,1.50013329766825,667242986.0,44.9469295848787,63.7556779176533,,1006527294483.09,3783.51875125366,1508.48688648948,,,
Africa Eastern and Southern,AFE,2018,4.72080474200535,7.06844009954607,,1.33831069790614,649757148.0,43.7690818968299,63.3658626111831,,1012719339457.72,3695.3868844571,1558.61207925907,,,
Africa Eastern and Southern,AFE,2017,6.39934341569381,7.12303202761927,,1.09998513990878,632746570.0,42.6232549793843,62.9223896233502,,940105480733.676,3640.62858239979,1485.7535786147,,,
Africa Eastern and Southern,AFE,2016,6.57139642173964,7.02762996710982,,2.01777907435237,616377605.0,41.5205707634619,62.444050201953,,829829959319.292,3595.84104139358,1346.30128120779,,,
Africa Eastern and Southern,AFE,2015,5.24587835022454,6.88031174359159,,3.19108743881622,600008424.0,40.417927553128,61.8564581403595,10.3,899295676086.836,3502.29666225392,1498.80508358802,,,
Africa Eastern and Southern,AFE,2014,5.37028961008587,6.79081012095128,,2.82914635401022,583651101.0,39.316203314029,61.3379174832409,10.5,979689662429.07,3473.84325265686,1678.55360976878,,,
Africa Western and Central,AFW,2023,4.67008370755076,3.39778239252847,,2.08867626400738,502789511.0,,,,796586157553.094,5389.58089595791,1584.33328485465,,,
Africa Western and Central,AFW,2022,7.96757361617945,3.7377655118933,,1.89271603558232,490330870.0,,57.626176164197,,877140805320.357,5156.12010265163,1788.8753472127,,,
Africa Western and Central,AFW,2021,3.65353287214209,4.52401613539756,,2.01114314883344,478185907.0,52.862912544898,56.9886567820139,,845993047006.805,4756.30841947667,1769.17185266776,,,
Africa Western and Central,AFW,2020,2.43760882182236,4.69749668526263,,1.39556938736929,466189102.0,51.5366792865574,57.2263727312399,,787146719022.421,4503.39664759409,1688.47087082362,,,
Africa Western and Central,AFW,2019,1.76011151192938,4.24794393851122,,1.55617661422266,454306063.0,50.2229838665101,57.5557955517512,,823933630796.516,4525.09124361269,1813.60914568405,,,
Africa Western and Central,AFW,2018,1.78404994832039,4.22416721373206,,1.94643302707374,442646825.0,48.9340692566036,57.1891392680655,,768189587833.624,4272.38785238209,1735.44583276662,,,
Africa Western and Central,AFW,2017,1.72548602374723,4.2041704106045,,2.5873018834343,431138704.0,47.6618604476341,56.888445830282,,685750159763.133,4139.38760428211,1590.5557849502,,,
Africa Western and Central,AFW,2016,1.48741550755546,4.13994847035832,,2.26069773206523,419778384.0,46.4059908598264,56.5816784850503,,692181085843.488,4072.79226056154,1648.92026894717,,,
Africa Western and Central,AFW,2015,2.13081738058791,4.20456155793808,,2.15729812324294,408690375.0,45.1802249225606,56.1958723463673,8.1,769367317617.821,4130.73627388289,1882.51880807768,,,
Africa Western and Central,AFW,2014,1.76843582146219,3.89955008418728,,1.85538770052668,397855507.0,43.9824434156037,55.9222289908432,8.1,894585438237.958,4180.42772373345,2248.51842565537,,,
Albania,ALB,2023,,11.584,,7.02616807743884,2745972.0,,,,22977677860.7979,21395.3250372633,8367.77573143421,,,
Albania,ALB,2022,6.72520271530048,11.588,,7.61975588479581,2777689.0,,76.833,,18916378860.5488,19492.7830985692,6810.11404104233,,,10454989641.6
Albania,ALB,2021,2.04147163139549,12.473,82.1135986168626,6.79614080368671,2811666.0,102.615547445255,76.463,2.31196864129807,17930565118.8176,16261.804554188,6377.20309553753,,,11054877741.5
Albania,ALB,2020,1.62088661717011,12.79,83.2694929587693,7.05509220945392,2837849.0,103.571131386861,76.989,2.12777201167065,15162734205.2462,14436.4850442823,5343.0377039956,29.4,0.634250938892365,10477366100.7
Albania,ALB,2019,1.41109078954246,11.466,75.374684957684,7.79792048386519,2854191.0,104.167554744526,79.282,2.26174791010144,15401826127.2539,14617.7849093704,5396.2142432843,30.1,,9274545228.5
Albania,ALB,2018,2.02805963071136,12.304,74.0172045020255,7.9463556997158,2866376.0,104.612262773723,79.184,2.29404594278858,15156424015.1977,13497.2493226353,5287.66080067575,30.1,0.628666281700134,9651086366.7
Albania,ALB,2017,1.98666133171199,13.616,76.3437383311961,7.85544826704409,2873457.0,104.870693430657,79.047,2.01434001712189,13019726211.7369,12769.7625847853,4531.03220675893,33.1,0.621,9801454504.1
Albania,ALB,2016,1.2754316836741,15.418,80.3954345019521,8.80509197849022,2876101.0,104.967189781022,78.86,2.74204347492575,11861199830.8396,12078.3488244026,4124.05538986272,33.7,,8516222980.3
Albania,ALB,2015,1.89617402592365,17.193,79.3904680099867,8.69053394301893,2880703.0,105.135145985401,78.644,2.22030990322398,11386853113.0189,11658.0457494095,3952.80357364813,32.8,,8447046910.5
Albania,ALB,2014,1.6258650440261,18.055,73.009213039443,8.69303872198522,2889104.0,105.441751824818,78.407,4.64616022595595,13228147516.1168,11258.4572796244,4578.63320812155,34.6,,8512452310.0
Algeria,DZA,2023,9.32217375928322,11.814,,0.506785829783857,45606480.0,,,,239899491127.742,17026.9616747867,5260.20624980797,,,
Algeria,DZA,2022,9.26551551551553,12.437,,0.106407629127474,44903225.0,,77.129,,225560256621.757,16028.287108716,5023.25293164928,,,7129257355.9
Algeria,DZA,2021,7.22606307415477,13.607,,0.466642750804028,44177969.0,18.5486033116111,76.377,1.57318234314011,186265418570.697,14690.9162300571,4216.2512851303,,,7378779146.5
Algeria,DZA,2020,2.41513094083414,14.04,,0.693816014772842,43451666.0,18.2436570559099,74.453,1.50512065521262,164873415325.201,12848.7626134738,3794.40952448639,,0.534556448459625,5177878073.5
Algeria,DZA,2019,1.95176821052892,12.285,,0.713947308015691,42705368.0,17.9303156808402,76.474,1.21530387918325,193459662090.677,14084.1995307289,4530.10174483631,,,5492379098.5
Algeria,DZA,2018,4.26999020467084,12.15,,0.753576088552131,41927007.0,17.6035123046545,76.066,1.35473538571451,194554483655.528,13916.3760986686,4640.31414537956,,0.531993925571442,5710491550.0
Algeria,DZA,2017,5.59111590961664,12.0,,0.647902696344899,41136546.0,17.2716286111714,75.743,1.27380650772187,189880896903.073,13674.8741291965,4615.86874364885,,0.523,5706818288.8
Algeria,DZA,2016,6.39769480268757,10.202,,0.906300705997461,40339329.0,16.9369083372205,75.732,1.34360193923407,180763839522.151,13608.2010371415,4481.08196153066,,,5463001796.7
Algeria,DZA,2015,4.78444700693889,11.206,,-0.286832290676438,39543154.0,16.6026255583626,75.622,1.38076996361026,187493855609.345,13973.6882681386,4741.49977033558,,,4671396332.7
Algeria,DZA,2014,2.91692692067458,10.207,,0.628688968391006,38760168.0,16.2738871581281,75.11,1.48864165770181,238942664192.59,14862.7932745547,6164.64469897525,,,5521188948.6
American Samoa,ASM,2023,,,,,43914.0,,,,,,,,,
American Samoa,ASM,2022,,,,,44273.0,,,,871000000.0,,19673.3901023197,,,
American Samoa,ASM,2021,,,,,45035.0,225.175,,,750000000.0,,16653.7137781725,,,
American Samoa,ASM,2020,,,,,46189.0,230.945,,,721000000.0,,15609.7772196843,,,
American Samoa,ASM,2019,,,,,47321.0,236.605,,0.0,647000000.0,,13672.576657298,,,
American Samoa,ASM,2018,,,,,48424.0,242.12,,26.8461919709235,639000000.0,,13195.9358995539,,,
American Samoa,ASM,2017,,,,,49463.0,247.315,,14.1519923983584,612000000.0,,12372.8847825647,,,
American Samoa,ASM,2016,,,,,50448.0,252.24,,0.0,671000000.0,,13300.8246114811,,,
American Samoa,ASM,2015,,,,,51368.0,256.84,,7.78694907335306,673000000.0,,13101.5418159165,,,
American Samoa,ASM,2014,,,,,52217.0,261.085,,5.74531039039384,643000000.0,,12313.9973571825,,,
Andorra,AND,2023,,,,,80088.0,,,,3727673593.01922,71587.4817760577,46544.7207199483,,,
Andorra,AND,2022,,,,,79824.0,,,,3380602042.84283,68311.7729810483,42350.6970690874,,,
Andorra,AND,2021,,,,,79034.0,168.157446808511,,,3324683011.5903,58829.8500720505,42066.4905178822,,,
Andorra,AND,2020,,,,,77700.0,165.31914893617,,2.57400257400257,2891001149.3611,51881.2896726873,37207.2219994994,,,
Andorra,AND,2019,,,,,76343.0,162.431914893617,,,3155149347.80639,57573.6930490229,41328.6004978373,,,
Andorra,AND,2018,,,,,75013.0,159.602127659574,,,3218419896.9641,55354.3891037228,42904.8284559223,,,
Andorra,AND,2017,,,,,73837.0,157.1,,,3000162081.11976,53031.6619118219,40632.2315521995,,,
Andorra,AND,2016,,,,,72540.0,154.340425531915,,,2896610479.73077,52847.3008681902,39931.2169800216,,,
Andorra,AND,2015,,,,,71746.0,152.651063829787,,0.0,2789881258.50362,51035.8875990701,38885.5303222983,,,
Andorra,AND,2014,,,,,71621.0,152.385106382979,,0.0,3271685596.66321,49938.6709928819,45680.5349920165,,,
Angola,AGO,2023,13.6441017767715,14.62,,-2.50183922339203,36684202.0,,,,84722957642.3757,8040.54360062078,2309.52162029791,,,
Angola,AGO,2022,21.3552901320822,14.693,,-6.32056384328187,35588987.0,,61.929,,104399746853.401,7928.6414975388,2933.48464381415,,,60106552628.2
Angola,AGO,2021,25.7542948841891,15.799,,-6.54854227564072,34503774.0,27.6760840619235,61.643,,66505129987.7235,7414.27895783202,1927.47407827687,,,66086652744.9
Angola,AGO,2020,22.271539247051,16.676,,-3.84826398729864,33428486.0,26.8135766423358,62.261,,48501561203.5686,6455.119982133,1450.90511139418,,0.362405389547348,65387403243.3
Angola,AGO,2019,17.080954143438,16.497,,-5.78081314286635,32353588.0,25.9513820486083,62.448,,70897962732.0277,7533.51185400503,2191.34776433537,,,62292159789.9
Angola,AGO,2018,19.6289379701521,16.599,,-8.12589110876485,31273533.0,25.085050934467,62.144,,79450688259.3664,7353.34998821375,2540.50887884546,51.3,0.360190957784653,61791490176.7
Angola,AGO,2017,29.8444799015679,16.617,,-10.0383767819736,30208628.0,24.2308719018208,61.68,,73690154990.7312,6998.79618747166,2439.37443934002,,0.361,58745881698.6
Angola,AGO,2016,30.6944150806719,16.58,,-0.340242828705014,29154746.0,23.385534611374,61.092,4.10224812286562,52761617225.9253,6850.38462458694,1809.70937719455,,,57434097528.2
Angola,AGO,2015,9.35597215533784,16.491,,11.0813390258994,28127721.0,22.5617397930537,60.655,4.4582353472576,90496420506.5957,7127.3395733001,3217.33924005417,,,48771532654.3
Angola,AGO,2014,7.28038730361121,16.401,,2.69000564690096,27128337.0,21.7601163070506,60.04,,135966802586.713,7999.82685137622,5011.9844274536,,,45924334305.5
Antigua and Barbuda,ATG,2023,5.06713865364213,,,14.7852994263416,94298.0,,,,2033085185.18518,31802.3771965018,21560.2153299665,,,
Antigua and Barbuda,ATG,2022,7.53107834634288,,,16.1547092931023,93763.0,,79.236,,1867733333.33333,29711.5633165812,19919.7266867883,,,
Antigua and Barbuda,ATG,2021,2.06299638545334,,,18.1006036013337,93219.0,211.861363636364,78.497,17.1637908377539,1601366666.66667,25493.1295548691,17178.5437160522,,,
Antigua and Barbuda,ATG,2020,0.625989707046719,,,7.52795987912524,92664.0,210.6,78.841,9.71250971250971,1410796296.2963,22159.4122861666,15224.8585890561,,0.595703899860382,
Antigua and Barbuda,ATG,2019,1.43135598182984,,,7.7612308574784,92117.0,209.356818181818,78.691,3.25674553418769,1725351851.85185,26316.833216636,18730.0047966374,,,
Antigua and Barbuda,ATG,2018,1.20715793367008,,,12.1775193572219,91626.0,208.240909090909,78.511,13.0967907405689,1661529629.62963,24336.8548617152,18133.8226008953,,0.578216969966888,
Antigua and Barbuda,ATG,2017,2.43248789041363,,,9.87959672634112,91119.0,207.088636363636,78.268,21.9493190223773,1531151851.85185,21217.6292614592,16803.8702340001,,,
Antigua and Barbuda,ATG,2016,-0.489437796230499,,,6.54040819952073,90564.0,205.827272727273,78.152,,1489692592.59259,21181.6274149752,16449.0591470407,,,
Antigua and Barbuda,ATG,2015,0.968993458825638,,,7.93074035994626,89941.0,204.411363636364,77.913,,1437755555.55556,20865.2339089624,15985.5411386971,,,
Antigua and Barbuda,ATG,2014,1.08944157435355,,,3.35524419080796,89236.0,202.809090909091,77.858,,1378829629.62963,21558.9997705071,15451.4952444039,,,
Arab World,ARB,2023,3.64216403030709,9.87831825553502,,2.1913944020707,473272080.0,,,,3491516939569.88,17913.683964503,7377.39893629449,,,
Arab World,ARB,2022,4.99502075060902,9.86965632118725,,2.16606193203552,464684914.0,,71.2272744547437,,3613682354462.24,17400.713764194,7776.62937958481,,,
