"country","countryName","censusPopulation","censusPopulationYear","estimatePopulation","estimatePopulationYear","totalPopulation","populationDensityKm","governmentType","yearsExisted","conflictCount"
"http://dbpedia.org/resource/Afghanistan","Afghanistan",19329841,139876331091115,38346720,2022,38346720,48.08,"http://dbpedia.org/resource/Unitary_state",-1,185
"http://dbpedia.org/resource/Afghanistan","Afghanistan",19329841,139876331091115,38346720,2022,38346720,48.08,"http://dbpedia.org/resource/Unitary_state",-1,1
"http://dbpedia.org/resource/Albania","Albania",2821977,139876331009238,2793592,"January 2022",2793592,97.0,"http://dbpedia.org/resource/Unitary_parliamentary_republic",-1,21
"http://dbpedia.org/resource/Albania","Albania",2821977,139876331009238,2793592,"January 2022",2793592,97.0,"http://dbpedia.org/resource/Unitary_parliamentary_republic",-1,19
"http://dbpedia.org/resource/Algeria","Algeria",73750932,139876331091109,44700000,2021,44700000,17.7,"http://dbpedia.org/resource/Unitary_state",-1,32
"http://dbpedia.org/resource/Algeria","Algeria",73750932,139876331091109,44700000,2021,44700000,17.7,"http://dbpedia.org/resource/Unitary_state",-1,13
"http://dbpedia.org/resource/Andorra","Andorra",,139876331091106,77543,2020,77543,179.8,"http://dbpedia.org/resource/Unitary_state",-1,0
"http://dbpedia.org/resource/Andorra","Andorra",1237091,139876331091105,77543,2020,77543,179.8,"http://dbpedia.org/resource/Constitutional_monarchy",-1,0
"http://dbpedia.org/resource/Angola","Angola",25789024,2014,34795287,2022,34795287,24.97,"http://dbpedia.org/resource/Unitary_state",14,21
"http://dbpedia.org/resource/Argentina","Argentina",47327407,2022,9459440,,19038098,14.4,"http://dbpedia.org/resource/Federal_republic",-1,48
"http://dbpedia.org/resource/Armenia","Armenia",38036118,139876331091113,3000756,2022,3000756,101.5,"http://dbpedia.org/resource/Unitary_parliamentary_republic",29,2
"http://dbpedia.org/resource/Armenia","Armenia",38036118,139876331091113,3000756,2022,3000756,101.5,"http://dbpedia.org/resource/Unitary_parliamentary_republic",29,22
"http://dbpedia.org/resource/Aruba","Aruba",,139876331091107,116576,2019-01-01,,624.0,,-1,1
"http://dbpedia.org/resource/Australia","Australia",25890773,2021,,,,,"http://dbpedia.org/resource/Federalism",-1,7
